Date,Budget,Food,Exer.,Net,+/-,Weight
22-Dec-25,"1,600","1,709",489,"1,220",-380,175.5
23-Dec-25,"1,600","1,811",573,"1,238",-362,173.7
24-Dec-25,"1,600","1,892",787,"1,105",-495,175.6
25-Dec-25,"1,600","2,403",-,"2,403",803,177
26-Dec-25,"1,600","1,696",436,"1,260",-340,178.2
27-Dec-25,"1,600","1,832",610,"1,222",-378,177.8
28-Dec-25,"1,600","1,703",394,"1,309",-291,177.1
