Date,Budget,Food,Exer.,Net,+/-,Weight
15-Dec-25,"1,500","1,932","1,222",710,-790,174.2
16-Dec-25,"1,500","1,843","1,137",706,-794,172.8
17-Dec-25,"1,500","1,887","1,008",879,-621,173
18-Dec-25,"1,500","2,171","1,103","1,068",-432,174
19-Dec-25,"1,500","1,967","1,013",954,-546,176
20-Dec-25,"1,500","2,592",721,"1,871",371,178.6
21-Dec-25,"1,300","1,435",570,865,-435,178
